Date;Symbol;Indexvalue
09.02.2001;V2TX;20.3934
12.02.2001;V2TX;19.6955
13.02.2001;V2TX;19.8939
14.02.2001;V2TX;21.0316
15.02.2001;V2TX;19.6685
16.02.2001;V2TX;21.0099
19.02.2001;V2TX;21.2961
20.02.2001;V2TX;21.4465
21.02.2001;V2TX;22.6497
22.02.2001;V2TX;23.9595
23.02.2001;V2TX;23.8147
26.02.2001;V2TX;23.7364
27.02.2001;V2TX;22.9086
28.02.2001;V2TX;23.3123
01.03.2001;V2TX;23.3797
02.03.2001;V2TX;22.8025
05.03.2001;V2TX;22.2056
06.03.2001;V2TX;20.877
07.03.2001;V2TX;20.7941
08.03.2001;V2TX;20.5669
09.03.2001;V2TX;21.1372
12.03.2001;V2TX;23.4681
13.03.2001;V2TX;24.1972
14.03.2001;V2TX;27.1949
15.03.2001;V2TX;27.2113
16.03.2001;V2TX;27.708
19.03.2001;V2TX;28.2499
20.03.2001;V2TX;27.7236
21.03.2001;V2TX;28.3524
22.03.2001;V2TX;30.5634
23.03.2001;V2TX;31.441
26.03.2001;V2TX;28.7891
27.03.2001;V2TX;27.0792
28.03.2001;V2TX;29.6507
29.03.2001;V2TX;30.1767
30.03.2001;V2TX;29.8427
02.04.2001;V2TX;29.5547
03.04.2001;V2TX;33.0777
04.04.2001;V2TX;32.6021
05.04.2001;V2TX;30.5196
06.04.2001;V2TX;29.7427
09.04.2001;V2TX;28.7019
10.04.2001;V2TX;26.521
11.04.2001;V2TX;25.3539
12.04.2001;V2TX;25.1553
17.04.2001;V2TX;27.7887
18.04.2001;V2TX;25.1814
19.04.2001;V2TX;26.1885
20.04.2001;V2TX;26.52
23.04.2001;V2TX;26.9862
24.04.2001;V2TX;25.7069
25.04.2001;V2TX;24.958
26.04.2001;V2TX;22.9708
27.04.2001;V2TX;20.9765
30.04.2001;V2TX;21.2096
02.05.2001;V2TX;21.7019
03.05.2001;V2TX;22.9237
04.05.2001;V2TX;22.902
07.05.2001;V2TX;22.5204
08.05.2001;V2TX;22.412
09.05.2001;V2TX;22.67
10.05.2001;V2TX;21.2014
11.05.2001;V2TX;21.0013
14.05.2001;V2TX;22.2907
15.05.2001;V2TX;21.6761
16.05.2001;V2TX;21.8261
17.05.2001;V2TX;21.1251
18.05.2001;V2TX;20.6796
21.05.2001;V2TX;20.6196
22.05.2001;V2TX;20.0028
23.05.2001;V2TX;20.0701
24.05.2001;V2TX;19.5906
25.05.2001;V2TX;19.5156
28.05.2001;V2TX;19.7229
29.05.2001;V2TX;20.4677
30.05.2001;V2TX;21.5401
31.05.2001;V2TX;21.3324
01.06.2001;V2TX;20.9758
04.06.2001;V2TX;20.6748
05.06.2001;V2TX;19.8599
06.06.2001;V2TX;19.9585
07.06.2001;V2TX;19.9685
08.06.2001;V2TX;19.0088
11.06.2001;V2TX;19.596
12.06.2001;V2TX;21.9501
13.06.2001;V2TX;21.3075
14.06.2001;V2TX;23.6198
15.06.2001;V2TX;24.2691
18.06.2001;V2TX;24.4264
19.06.2001;V2TX;22.8877
20.06.2001;V2TX;23.083
21.06.2001;V2TX;22.2517
22.06.2001;V2TX;20.9377
25.06.2001;V2TX;21.4135
26.06.2001;V2TX;23.5298
27.06.2001;V2TX;23.1896
28.06.2001;V2TX;21.7453
29.06.2001;V2TX;20.3374
02.07.2001;V2TX;19.6287
03.07.2001;V2TX;20.4274
04.07.2001;V2TX;20.5635
05.07.2001;V2TX;20.9835
06.07.2001;V2TX;24.72
09.07.2001;V2TX;25.3517
10.07.2001;V2TX;25.0002
11.07.2001;V2TX;27.7726
12.07.2001;V2TX;25.0319
13.07.2001;V2TX;24.4581
16.07.2001;V2TX;25.5613
17.07.2001;V2TX;26.1614
18.07.2001;V2TX;28.3975
19.07.2001;V2TX;26.0746
20.07.2001;V2TX;26.1025
23.07.2001;V2TX;25.7157
24.07.2001;V2TX;26.3884
25.07.2001;V2TX;28.0986
26.07.2001;V2TX;26.9082
27.07.2001;V2TX;24.9231
30.07.2001;V2TX;23.5668
31.07.2001;V2TX;22.3067
01.08.2001;V2TX;21.7247
02.08.2001;V2TX;22.058
03.08.2001;V2TX;22.8639
06.08.2001;V2TX;22.8967
07.08.2001;V2TX;22.7948
08.08.2001;V2TX;23.465
09.08.2001;V2TX;25.9944
10.08.2001;V2TX;25.7905
13.08.2001;V2TX;25.2422
14.08.2001;V2TX;24.09
15.08.2001;V2TX;24.2376
16.08.2001;V2TX;25.9489
17.08.2001;V2TX;28.9581
20.08.2001;V2TX;28.679
21.08.2001;V2TX;26.7663
22.08.2001;V2TX;26.935
23.08.2001;V2TX;25.2731
24.08.2001;V2TX;24.1168
27.08.2001;V2TX;24.9203
28.08.2001;V2TX;26.2642
29.08.2001;V2TX;26.2533
30.08.2001;V2TX;27.7022
31.08.2001;V2TX;27.4855
03.09.2001;V2TX;28.8168
04.09.2001;V2TX;28.6014
05.09.2001;V2TX;29.9404
06.09.2001;V2TX;31.6444
07.09.2001;V2TX;33.0768
10.09.2001;V2TX;34.9939
11.09.2001;V2TX;54.166
12.09.2001;V2TX;46.6506
13.09.2001;V2TX;40.9143
14.09.2001;V2TX;50.8244
17.09.2001;V2TX;45.6318
18.09.2001;V2TX;46.8572
19.09.2001;V2TX;46.6682
20.09.2001;V2TX;52.4536
21.09.2001;V2TX;57.5413
24.09.2001;V2TX;50.2767
25.09.2001;V2TX;48.7255
26.09.2001;V2TX;47.0451
